aadhaar_number,name,father_name,date_of_birth,gender,district,village,mobile,enrollment_date
678901234569,अनिल कुमार यादव,श्री राम कुमार यादव,1975-11-08,M,रायपुर,आरंग,9876543232,2016-06-05
789012345680,राधा देवी,श्री मोहन लाल,1958-01-20,F,राजनांदगांव,छुईखदान,9876543233,2015-11-28
890123456791,विजय कुमार,श्री श्याम सुंदर,1972-05-28,M,बिलासपुर,कोटा,9876543234,2016-01-10
901234567892,पार्वती देवी पटेल,श्री रामलाल पटेल,1949-10-12,F,दुर्ग,पाटन,9876543235,2015-09-18
123456789014,महेश कुमार साहू,श्री सुखराम साहू,1979-02-25,M,रायपुर,महासमुंद,9876543236,2016-03-15
234567890126,सावित्री देवी,श्री लक्ष्मण,1946-07-18,F,बिलासपुर,मुंगेली,9876543237,2015-12-02
345678901237,संतोष कुमार,श्री रामनाथ,1964-12-05,M,राजनांदगांव,राजनांदगांव,9876543238,2016-05-22
456789012348,मंजू देवी,श्री गोपाल दास,1959-04-22,F,रायपुर,सिमगा,9876543239,2015-10-08
567890123459,रामलाल पटेल,श्री दीनदयाल पटेल,1967-09-15,M,दुर्ग,बेमेतरा,9876543240,2016-02-25
678901234570,गंगा बाई,श्री रामप्रसाद,1943-01-30,F,बिलासपुर,बिल्हा,9876543241,2015-08-30
789012345681,योगेश कुमार वर्मा,श्री प्रेम कुमार वर्मा,1976-06-12,M,रायपुर,धमतरी,9876543242,2016-04-08
890123456792,कृष्णा देवी,श्री राम कुमार,1951-11-28,F,राजनांदगांव,खैरागढ़,9876543243,2015-11-22
901234567893,सुनील कुमार साहू,श्री रामचरण साहू,1970-03-18,M,बिलासपुर,अकलतरा,9876543244,2016-06-12
123456789015,रुक्मणी देवी,श्री सीताराम,1955-08-05,F,दुर्ग,दुर्ग,9876543245,2015-09-28
234567890127,अरुण कुमार,श्री मोहन लाल,1973-01-22,M,रायपुर,गरियाबंद,9876543246,2016-01-18
345678901238,तुलसी बाई पटेल,श्री रामदीन पटेल,1948-05-10,F,बिलासपुर,मस्तूरी,9876543247,2015-12-15
456789012349,राकेश कुमार,श्री हरि प्रसाद,1981-10-28,M,राजनांदगांव,डोंगरगढ़,9876543248,2016-03-28
567890123460,शकुंतला देवी,श्री रामलाल,1953-02-15,F,रायपुर,बलौदा बाजार,9876543249,2015-10-20
678901234571,देवेंद्र कुमार यादव,श्री राम प्रसाद यादव,1962-07-08,M,दुर्ग,भिलाई,9876543250,2016-05-05
789012345682,जानकी देवी,श्री श्याम लाल,1945-12-20,F,बिलासपुर,तखतपुर,9876543251,2015-11-10
890123456793,भरत कुमार साहू,श्री सुरेश साहू,1978-04-12,M,रायपुर,आरंग,9876543252,2016-02-18
901234567894,दुर्गा देवी,श्री गोपाल,1950-09-25,F,राजनांदगांव,छुईखदान,9876543253,2015-09-12
123456789016,कमल कुमार वर्मा,श्री राम कुमार वर्मा,1965-01-18,M,बिलासपुर,कोटा,9876543254,2016-04-22
234567890128,रामकली बाई,श्री रामदयाल,1947-06-30,F,दुर्ग,पाटन,9876543255,2015-12-28
345678901239,प्रकाश चंद्र,श्री दीन दयाल,1963-11-22,M,रायपुर,महासमुंद,9876543256,2016-06-18
456789012350,रामबाई,श्री लक्ष्मण प्रसाद,1945-03-08,F,दुर्ग,राजनांदगांव,9876543257,2015-10-25
567890123461,मुकेश कुमार तिवारी,श्री रामनाथ तिवारी,1974-08-15,M,बिलासपुर,बिल्हा,9876543258,2016-03-08
678901234572,सरस्वती देवी,श्री कृष्ण कुमार,1952-01-28,F,रायपुर,सिमगा,9876543259,2015-08-22
