record_id,name,father_name,date_of_death,age,gender,district,village,registration_date
CDR031,महेश कुमार साहू,श्री सुखराम साहू,2023-03-22,44,M,रायपुर,महासमुंद,2023-03-25
CDR032,सावित्री देवी,श्री लक्ष्मण,2023-06-15,77,F,बिलासपुर,मुंगेली,2023-06-18
CDR033,संतोष कुमार,श्री रामनाथ,2023-08-18,59,M,राजनांदगांव,राजनांदगांव,2023-08-21
CDR034,मंजू देवी,श्री गोपाल दास,2023-01-30,64,F,रायपुर,सिमगा,2023-02-02
CDR035,रामलाल पटेल,श्री दीनदयाल पटेल,2023-04-25,56,M,दुर्ग,बेमेतरा,2023-04-28
CDR036,गंगा बाई,श्री रामप्रसाद,2023-07-10,80,F,बिलासपुर,बिल्हा,2023-07-13
CDR037,योगेश कुमार वर्मा,श्री प्रेम कुमार वर्मा,2023-09-22,47,M,रायपुर,धमतरी,2023-09-25
CDR038,कृष्णा देवी,श्री राम कुमार,2023-02-28,72,F,राजनांदगांव,खैरागढ़,2023-03-03
CDR039,सुनील कुमार साहू,श्री रामचरण साहू,2023-05-08,53,M,बिलासपुर,अकलतरा,2023-05-11
CDR040,रुक्मणी देवी,श्री सीताराम,2023-07-20,68,F,दुर्ग,दुर्ग,2023-07-23
CDR041,अरुण कुमार,श्री मोहन लाल,2023-09-12,50,M,रायपुर,गरियाबंद,2023-09-15
CDR042,तुलसी बाई पटेल,श्री रामदीन पटेल,2023-03-18,75,F,बिलासपुर,मस्तूरी,2023-03-21
CDR043,राकेश कुमार,श्री हरि प्रसाद,2023-06-08,42,M,राजनांदगांव,डोंगरगढ़,2023-06-11
CDR044,शकुंतला देवी,श्री रामलाल,2023-08-22,70,F,रायपुर,बलौदा बाजार,2023-08-25
CDR045,देवेंद्र कुमार यादव,श्री राम प्रसाद यादव,2023-01-15,61,M,दुर्ग,भिलाई,2023-01-18
CDR046,जानकी देवी,श्री श्याम लाल,2023-04-30,78,F,बिलासपुर,तखतपुर,2023-05-03
CDR047,भरत कुमार साहू,श्री सुरेश साहू,2023-07-05,45,M,रायपुर,आरंग,2023-07-08
CDR048,दुर्गा देवी,श्री गोपाल,2023-09-28,73,F,राजनांदगांव,छुईखदान,2023-10-01
CDR049,कमल कुमार वर्मा,श्री राम कुमार वर्मा,2023-02-12,58,M,बिलासपुर,कोटा,2023-02-15
CDR050,रामकली बाई,श्री रामदयाल,2023-05-25,76,F,दुर्ग,पाटन,2023-05-28
